#{"t_start": 1626279733.2108138, "env_id": "jtr-v1"}
r,l,t
271.708158,22,35532.76892
263.514399,22,35559.972757
452.855149,32,35597.534926
235.054079,20,35621.406566
384.062752,28,35653.060718
764.086312,57,35720.180766
655.213607,48,35776.956013
348.880757,26,35806.538968
299.659365,24,35832.985415
653.578152,42,35882.651307
721.787399,51,35939.427407
237.612319,20,35961.608351
251.440038,20,35986.98768
585.99908,45,36037.198798
630.014681,41,36085.716205
307.591473,26,36114.993307
231.009812,20,36137.096262
251.383451,21,36160.222519
512.741275,38,36205.866017
442.783783,35,36245.8305
295.990481,24,36272.210311
492.92602,37,36316.686859
819.949326,61,36384.317951
288.107403,24,36414.678805
363.081082,28,36445.631642
638.380025,48,36502.131868
217.941191,19,36523.838356
763.374125,56,36585.785603
239.823684,20,36611.422214
281.990394,23,36637.238567
264.176178,22,36661.764212
292.468072,26,36690.264822
292.894203,24,36720.503422
630.965767,48,36773.870794
229.021533,20,36795.786224
295.506274,24,36826.032152
277.211698,22,36850.284021
246.215013,21,36873.433228
274.406796,22,36897.752569
380.854797,28,36932.445666
254.807494,20,36954.707428
302.103534,23,36980.08483
212.010198,18,36999.946719
292.059478,22,37028.205504
439.023191,34,37066.058452
249.231847,22,37090.491642
290.715352,24,37120.462828
266.602957,22,37144.853308
337.760071,26,37173.888672
323.776657,26,37202.602924
233.963988,20,37227.987994
261.359209,22,37252.686726
289.824497,23,37278.495909
317.027021,25,37305.991902
694.479008,48,37363.067931
296.274081,23,37388.624856
248.778359,21,37411.609645
721.264934,55,37475.772997
356.621183,26,37504.590504
301.577503,25,37535.206976
321.195531,26,37564.525611
285.014605,23,37589.87365
245.030545,20,37611.904645
239.731463,20,37637.396647
218.413375,18,37657.43655
278.188207,24,37683.973877
304.159779,24,37710.686933
301.13338,24,37740.57979
242.054268,20,37762.893916
407.072916,30,37796.203162
251.1524,21,37819.523717
268.790694,22,37847.289407
249.323562,22,37871.742948
264.823819,21,37894.670895
345.303614,26,37923.19665
266.544526,22,37951.480566
233.009499,20,37973.846907
240.08176,20,37995.708368
336.211633,28,38026.431001
429.344906,31,38063.992879
242.753714,20,38086.12554
357.080191,27,38115.737116
236.873153,20,38137.838764
359.187647,27,38170.981541
266.762966,21,38194.207018
455.853424,30,38227.097919
357.130411,28,38261.044966
252.924278,20,38291.627237
238.371753,19,38321.055385
644.2933,48,38402.387035
235.009776,20,38437.248566
215.695697,18,38465.588904
241.091392,20,38495.596713
245.415905,21,38530.361193
229.328908,20,38564.300277
240.114138,20,38598.302692
296.392172,24,38637.147008
232.23262,20,38667.433485
265.118225,22,38708.16451
368.501094,27,38741.813035
486.846937,39,38784.750669
296.406529,23,38813.880907
261.813317,22,38838.453908
784.129189,60,38908.760232
679.319207,46,38960.439005
265.563064,21,38983.881861
347.45539,25,39014.991273
270.274175,23,39040.815375
334.638014,26,39069.61866
229.011534,19,39090.858174
258.040456,22,39118.312918
265.834207,22,39143.147406
474.433899,35,39182.728698
231.938456,19,39203.964306
282.363322,26,39236.422031
238.292709,20,39258.723681
246.044553,20,39280.777059
229.528344,20,39302.837537
243.736865,20,39328.112987
308.214392,25,39356.408281
236.181363,20,39378.817753
237.695839,20,39400.917742
284.423331,23,39429.893855
310.00648,26,39458.628478
241.269476,19,39479.936738
300.308812,24,39506.306777
297.987049,25,39537.434575
256.860108,20,39559.440986
351.661063,26,39588.138189
316.148645,28,39618.678102
393.965374,31,39656.570499
258.240097,22,39680.851595
650.089979,49,39738.262771
300.579306,24,39765.356937
241.521568,22,39789.681918
252.564002,21,39812.565885
294.922562,23,39841.497679
274.24032,22,39866.186278
355.303189,28,39897.026039
606.847628,47,39952.158446
453.700026,35,39991.046962
238.369691,19,40011.854607
212.878701,18,40031.942233
258.418602,22,40059.85574
296.055293,25,40087.611942
263.434397,22,40111.964818
306.3252,25,40139.220716
268.158365,21,40166.276703
235.474102,20,40188.660546
312.897069,27,40218.627591
305.499629,24,40245.070783
342.374074,27,40278.751246
267.882754,21,40301.882572
298.953449,24,40328.330043
270.32909,22,40352.472237
448.700816,35,40395.094066
274.150896,22,40419.270596
231.795005,20,40441.299934
241.798943,20,40466.57328
300.981094,24,40493.62975
368.306521,28,40524.939034
438.634654,33,40565.032897
225.688546,20,40587.479144
258.551718,22,40612.227097
337.549977,26,40640.987271
245.248096,20,40663.216201
301.743154,24,40693.808079
299.026878,24,40720.861216
245.302521,20,40742.874171
290.837705,23,40768.17254
371.964514,30,40805.485961
311.818902,25,40833.478402
269.599592,22,40857.953571
266.800344,21,40884.683284
310.946237,24,40912.24674
243.374765,20,40934.396757
316.655623,24,40960.85958
295.88788,23,40989.79298
264.302483,21,41013.404788
289.467816,23,41038.987666
282.757688,22,41063.336879
303.290863,24,41093.287899
244.745626,20,41115.903606
256.904783,21,41139.70438
288.047752,23,41165.783271
253.852195,21,41192.708324
355.265757,28,41224.019308
229.471093,20,41246.236421
312.245797,24,41272.390277
269.838975,22,41300.06362
266.698172,21,41323.758718
264.572227,21,41347.065989
239.111647,20,41368.949893
260.001857,22,41396.449836
255.448436,22,41421.324273
291.65817,23,41447.16356
379.079695,28,41477.91141
327.836056,24,41507.97178
243.036532,20,41530.497372
272.758306,24,41557.389264
301.972154,24,41584.031086
384.563618,28,41618.428894
228.927837,19,41639.775807
250.965913,20,41661.666056
321.571286,24,41687.996798
276.127653,23,41716.936327
350.321616,26,41745.78444
334.96638,25,41773.972486
296.998421,24,41800.540572
260.117014,22,41828.53595
478.677608,33,41865.083972
266.608286,21,41896.911731
257.418545,21,41928.683021
260.095551,22,41968.937976
307.299253,25,42008.51529
372.532063,28,42056.490221
503.996772,39,42122.789925
275.28526,22,42155.867591
291.388913,23,42193.514512
350.228768,28,42243.709527
248.726938,20,42274.435767
337.815239,26,42318.314479
262.751639,21,42341.252398
282.002258,23,42370.497567
233.496394,20,42392.927537
224.522599,19,42414.195513
353.327329,27,42443.568783
362.645894,28,42478.031422
258.190807,20,42500.201664
249.619267,20,42522.676302
324.03626,25,42550.166664
241.543311,20,42575.384414
289.686094,25,42603.482003
238.282674,20,42625.661645
316.476288,24,42652.372041
263.450563,22,42679.958405
346.284549,26,42708.94874
294.421107,24,42735.311446
362.326726,27,42764.874577
298.438185,24,42795.05529
268.776594,22,42819.554728
688.750802,51,42875.883141
276.235102,22,42903.677132
335.199459,25,42931.505075
362.052856,28,42962.537996
248.54444,20,42988.392056
225.31574,19,43010.05425
206.796028,18,43030.486761
240.339493,20,43052.84108
283.245228,23,43077.949417
724.730656,55,43142.645863
497.852584,38,43184.178762
619.593297,46,43238.726975
255.449017,20,43260.909184
257.405521,21,43283.924028
239.452405,20,43309.486988
251.5648,20,43331.922618
323.87672,24,43358.439554
264.755712,22,43382.5835
672.911903,52,43458.160821
231.382434,20,43480.327167
659.98635,51,43540.441798
287.705499,24,43567.130687
265.083808,21,43590.569856
229.918404,20,43612.899995
311.69721,24,43643.477796
272.157398,22,43667.858044
504.089751,32,43703.370585
283.339853,23,43732.445749
423.097635,31,43767.081525
391.85012,31,43801.653412
269.792533,22,43825.486257
232.055727,19,43850.682108
323.01182,27,43880.467151
756.746934,58,43947.745907
247.098236,20,43970.373996
307.349196,24,43996.956018
226.503196,20,44018.73665
353.101931,27,44052.088375
347.158211,28,44083.091464
267.647686,22,44107.468333
284.272186,22,44131.666304
235.401438,20,44157.716144
300.439742,24,44184.446743
250.368211,22,44208.989264
236.457016,20,44231.005253
315.362252,26,44263.48306
259.792869,20,44285.534335
503.743238,38,44327.611223
464.025482,37,44372.49899
317.83016,26,44401.399293
263.110525,22,44425.704159
267.540082,22,44453.225117
766.325858,108,44577.100338
226.858091,19,44598.668525
385.683583,29,44631.180367
274.851047,22,44655.48681
257.579805,22,44683.689828
268.129992,23,44709.385447
232.726453,20,44731.905493
244.189353,20,44753.913308
238.949628,20,44780.000823
760.591573,57,44843.406074
670.601417,51,44903.568831
253.899972,20,44926.145551
243.596304,20,44948.200033
277.305947,24,44978.27042
240.831545,20,45000.724063
226.633908,20,45022.840654
231.378733,20,45045.133324
255.372287,21,45068.103505
669.286473,50,45128.024775
250.876649,21,45151.091468
700.792946,54,45215.898419
771.067446,58,45282.796592
496.908666,36,45327.770562
581.715012,45,45377.842865
302.417505,24,45408.184255
243.821305,20,45430.851783
239.525387,20,45453.0227
297.200442,26,45489.99386
316.385667,24,45533.531158
259.541767,22,45566.114284
464.06646,36,45626.342196
226.01967,20,45660.554326
661.226979,50,45745.167139
625.165923,47,45821.28722
486.611824,31,45872.735318
259.237773,21,45909.301407
237.538702,20,45931.42227
574.651534,44,45984.651925
265.196958,21,46008.317477
507.338158,39,46054.760211
306.749683,26,46084.569341
680.2905,51,46141.353766
311.079499,23,46170.369241
273.503689,24,46198.212511
421.525908,35,46237.108776
634.220567,48,46294.354779
402.207489,27,46324.762868
255.564606,21,46347.84859
250.562163,20,46373.908931
280.709105,22,46398.530854
274.12325,22,46422.865045
251.940689,21,46446.304051
222.17237,18,46469.448812
623.424601,47,46523.161568
270.916463,21,46546.760962
507.010141,39,46593.897424
312.192414,24,46621.123992
240.378323,20,46643.374753
309.127305,25,46671.076473
358.054122,29,46707.284335
241.533174,20,46729.586289
253.246446,22,46753.884137
264.757435,22,46778.234895
240.279795,20,46804.634757
260.932413,22,46829.367952
330.319324,26,46858.644265
312.628836,24,46888.49924
637.750967,47,46941.668567
309.548263,24,46968.436567
236.53813,20,46994.003034
337.70965,24,47021.05257
417.290508,31,47055.771143
242.240811,20,47077.876358
321.099218,26,47110.733316
223.567904,18,47131.365307
236.638674,20,47153.814962
587.389663,44,47206.189544
215.13841,18,47226.497335
393.586051,28,47257.760465
335.424449,26,47425.569225
271.004441,21,47449.056797
238.980518,20,47471.640358
325.842865,25,47499.177272
282.920951,22,47527.108663
476.281038,37,47568.453774
235.628278,20,47590.63065
406.542086,31,47628.795862
296.649692,23,47654.386157
728.142985,55,47715.667371
269.417332,23,47745.355417
259.282439,24,47772.273422
278.426858,22,47797.157833
570.216457,40,47845.290421
330.87256,26,47874.356695
288.452098,24,47900.907499
235.539027,19,47921.82237
542.155101,44,47974.524978
292.221109,24,48001.24421
297.670113,24,48027.693471
333.078834,27,48061.806705
221.639468,19,48083.329978
275.382188,23,48109.22009
235.905972,19,48130.14501
248.469611,20,48156.173446
323.592988,24,48183.084555
245.435355,21,48206.233679
261.639474,22,48230.823854
653.158931,50,48290.437525
627.77517,48,48347.558974
575.831613,42,48395.002625
489.032579,39,48438.865301
439.864982,33,48479.424795
637.483856,48,48533.251684
224.361105,18,48556.569991
720.937029,53,48615.915011
252.995433,20,48638.09325
584.550054,45,48691.81122
241.248074,20,48714.282806
298.245043,24,48740.952485
222.399762,19,48765.109988
242.458505,20,48787.787366
325.850247,26,48816.870364
257.355439,21,48840.337028
394.453315,31,48878.539826
259.683255,22,48903.252466
247.88489,20,48925.6073
267.808441,22,48950.286747
322.339324,26,48982.886599
230.793911,20,49005.509649
256.415632,22,49030.096498
343.611491,27,49060.034843
